鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中美路91~120號,44.15,商,,,1051201,土地2建物1車位2,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051011,250.3,2,2,3,有,有,18200000,77784,坡道平面,42.03,2000000,"相關連件,毛胚屋",RPQOMLNLKHMFFAU86EA
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中美路91~120號,44.15,商,,,1051201,土地2建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051011,220.93,2,2,3,有,有,15500000,70362,坡道平面,12.01,800000,"相關連件,毛胚屋",SPQOMLNLKHMFFAU96EA
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中美路91~120號,39.05,商,,,1051201,土地2建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051011,203.74,3,2,2,有,有,13000000,64302,坡道平面,14.01,800000,"相關連件,毛胚屋",TPQOMLNLKHMFFAU07EA
瑞穗鄉,土地,瑞美段751~780地號,49.0,商,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,24490,,0.0,0,建物一棟未登記,RPTNMLOJJHMFFCU07EA
花蓮市,房地(土地+建物),花蓮縣花蓮市德安一街108巷1~30號,80.0,住,,,1051101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660926,96.04,0,0,0,無,無,5300000,55185,,0.0,0,,RPUNMLPJJHMFFAU86CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉民治路1~30號,140.97,住,,,1051201,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0980617,267.07,3,2,3,有,無,20000000,74887,,0.0,0,,RPVNMLQJJHMFFAU07CA
新城鄉,房地(土地+建物),花蓮縣新城鄉自信街1~30號,66.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0671228,80.96,2,1,2,有,無,3580000,44219,,0.0,0,,RPOPMLNJJHMFFAU88CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯里國興二街121~150號,8.38,住,,,1051201,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830708,43.6,1,1,1,有,有,1700000,38991,,0.0,0,,RPSPMLNJJHMFFAU66CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街91~120號,25.68,住,,,1051201,土地3建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820618,106.82,3,2,2,有,有,5200000,48680,,0.0,0,,RPQNMLKKJHMFFAU68CA
花蓮市,土地,樹人段151~180地號,164.0,商,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14880000,90732,,0.0,0,,RPOOMLLKJHMFFAU68CA
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路257巷31~60號,72.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670515,88.16,3,2,3,有,無,5800000,65789,,0.0,0,,RPPNMLMKJHMFFAU78CA
花蓮市,房地(土地+建物),花蓮縣花蓮市福光街371巷1~30號,164.95,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701012,140.03,4,2,2,有,無,6150000,43919,,0.0,0,含增建,RPQOMLQKJHMFFAU76CA
花蓮市,土地,林森段1621~1650地號,74.0,住,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,135135,,0.0,0,,RPVOMLOLJHMFFAU17CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉昌一街67巷1~30號,84.0,農,,,1051201,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0900425,176.91,4,2,3,有,無,6800000,38438,,0.0,0,,RPOPMLOLJHMFFAU56CA
鳳林鎮,土地,北林段781~810地號,3351.16,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5050000,1507,,0.0,0,,RPPNMLNKJHMFFBU98CA
