編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQOMLNLKHMFFAU86EA,樹人段,11.26,都市：其他
RPQOMLNLKHMFFAU86EA,樹人段,32.89,都市：商
SPQOMLNLKHMFFAU96EA,樹人段,11.26,都市：其他
SPQOMLNLKHMFFAU96EA,樹人段,32.89,都市：商
TPQOMLNLKHMFFAU07EA,樹人段,9.96,都市：其他
TPQOMLNLKHMFFAU07EA,樹人段,29.10,都市：商
RPTNMLOJJHMFFCU07EA,瑞美段,49.00,都市：商
RPUNMLPJJHMFFAU86CA,德安段,80.00,都市：住
RPVNMLQJJHMFFAU07CA,慈惠段,140.97,都市：住
RPOPMLNJJHMFFAU88CA,嘉南段,66.00,都市：住
RPSPMLNJJHMFFAU66CA,富國段,4.19,都市：住
RPSPMLNJJHMFFAU66CA,富國段,4.19,都市：住
RPQNMLKKJHMFFAU68CA,富國段,12.12,都市：住
RPQNMLKKJHMFFAU68CA,富國段,12.74,都市：住
RPQNMLKKJHMFFAU68CA,富國段,.81,都市：住
RPOOMLLKJHMFFAU68CA,樹人段,143.00,都市：商
RPOOMLLKJHMFFAU68CA,樹人段,21.00,都市：商
RPPNMLMKJHMFFAU78CA,國風段,72.00,都市：住
RPQOMLQKJHMFFAU76CA,石壁段,164.95,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLOLJHMFFAU17CA,林森段,8.00,都市：住
RPVOMLOLJHMFFAU17CA,林森段,66.00,都市：住
RPOPMLOLJHMFFAU56CA,稻香段,82.00,都市：農
RPOPMLOLJHMFFAU56CA,稻香段,2.00,都市：農
RPPNMLNKJHMFFBU98CA,北林段,3351.16,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTJJHMFFCU07CA,泰林段,2020.99,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOJJHMFFCU56CA,東竹段,1189.20,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLRKJHMFFCU96CA,瑞強段,12.61,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSKJHMFFCU17DA,新舞鶴段,1171.14,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLQJJHMFFAU07EA,富國段,9.73,都市：商
RPQNMLNJKHMFFCU56CA,瑞強段,18.07,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLRKJHMFFCU57CA,瑞強段,11.79,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLQJJHMFFAU56DA,光輝段,150.54,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLKLJHMFFAU66EA,富國段,11.38,都市：商
RPRNMLRKJHMFFCU07CA,瑞強段,11.01,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLRKJHMFFCU17CA,瑞強段,11.15,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLRKJHMFFCU27CA,瑞強段,22.98,非都市：一般農業區 ; 非都市編定：農牧用地
RPWOMLOLJHMFFAU27CA,宜安段,39.00,都市：其他
RPXOMLOLJHMFFAU37CA,富國段,32.73,都市：住
RPVNMLQLJHMFFAU27CA,慶豐段,1207.00,都市：農
RPSNMLOLJHMFFAU76CA,壽山段,432.09,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLOLJHMFFAU76CA,壽山段,2677.01,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWOMLNKJHMFFAU07CA,碧雲段,128.00,都市：住
RPUNMLLKJHMFFAU56CA,國風段,71.00,都市：住
RPQOMLLKJHMFFAU88CA,初音段,236.37,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNKJHMFFAU96CA,碧雲段,79.00,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,.04,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,.74,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,.25,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,2.30,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,1.64,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,1.32,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,3.45,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,7.07,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,1.19,都市：住
RPWOMLOJJHMFFAU07CA,宜寧段,.37,都市：住
RPRNMLLKJHMFFAU88CA,民勤段,187.00,都市：住
RPXNMLPJJHMFFAU17CA,裕民段,17.48,都市：住
RPQOMLPJJHMFFAU56CA,南埔段,2735.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLQJJHMFFAU76CA,民生段,18.16,都市：商
RPXNMLSKJHMFFAU77EA,林森段,1.43,都市：商
RPOOMLSKJHMFFAU96EA,林森段,.64,都市：商
RPQNMLOJJHMFFBU66EA,支亞干段,3425.80,非都市：河川區 ; 非都市編定：農牧用地
RPRNMLOJJHMFFBU76EA,支亞干段,6665.60,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLQJJHMFFAU96CA,光學段,926.23,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLKKJHMFFAU78CA,慶豐段,1322.00,都市：農
RPROMLLKJHMFFAU98CA,德安段,57.00,都市：住
RPXNMLQKJHMFFAU37CA,鹽寮段,6412.15,非都市：風景區 ; 非都市編定：農牧用地
RPOOMLQKJHMFFAU56CA,富國段,4.84,都市：住
RPOOMLQKJHMFFAU56CA,富國段,4.60,都市：住
RPXOMLNLJHMFFAU27CA,嘉新段,45.00,都市：農
RPPNMLQJJHMFFCU66CA,麻汝段,1464.07,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTJJHMFFCU96CA,三義段二小段,4787.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJHMFFCU96CA,三義段二小段,4941.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJHMFFCU96CA,三義段二小段,4978.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJHMFFCU96CA,三義段二小段,4795.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJHMFFCU96CA,三義段二小段,4975.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTJJHMFFCU96CA,三義段二小段,4836.00,非都市：一般農業區 ; 非都市編定：農牧用地
