編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLPJJHMFFAV07CA,36,115.65,住家用,加強磚造,69年10月30日,二層,一層 二層 騎樓
RPWNMLPJJHMFFAV17CA,22,157.69,住家用,鋼筋混凝土造,84年1月14日,三層,一層 二層 三層
RPSNMLOJJHMFFBV86DA,24,162.27,見其他登記事項,鋼筋混凝土造,81年6月29日,二層,一層 二層
RPPNMLOKJHMFFAV09CA,36,101.07,住家用,加強磚造,69年7月10日,二層,一層 二層 騎樓
SPPNMLOKJHMFFAV56CA,36,101.07,住家用,加強磚造,69年7月10日,二層,一層 二層 騎樓
RPQNMLOKJHMFFAV56CA,36,101.07,住家用,加強磚造,69年7月10日,二層,一層 二層 騎樓
RPOOMLQKJHMFFAV66CA,,455.39,見其他登記事項,見其他登記事項,105年11月10日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLNKJHMFFBV56CA,23,86.29,住家用,加強磚造,82年4月17日,一層,一層
RPQNMLTLJHMFFAV17CA,23,91.49,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,四層
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.23,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.23,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.23,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.23,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.62,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPQNMLTLJHMFFAV17CA,23,.23,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
