½s¸¹,¤g¦a°Ï¬q¦ì¸m,¤g¦a²¾Âà­±¿n¥­¤è¤½¤Ø,¨Ï¥Î¤À°Ï©Î½s©w
RPVNMLPJJHMFFAV07CA,¥Ã©M¬q,117.46,³£¥«¡G¦í
RPVNMLPJJHMFFAV07CA,¥Ã©M¬q,2.81,³£¥«¡G¨ä¥L
RPWNMLPJJHMFFAV17CA,¤U»«®Ô¬q,109.83,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPWNMLPJJHMFFAV17CA,¤U»«®Ô¬q,18.50,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLQJJHMFFAV56CA,ª¾¥»¬q,4750.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLOJJHMFFAV66CA,©¥ÆW¬q,518.78,³£¥«¡G¦í
RPUNMLNJJHMFFBV86CA,«n¤K¨½¬q,1044.68,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLOJJHMFFBV56CA,³£Â×¬q,195.41,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPSNMLOJJHMFFBV86DA,¤T¥P¬q,267.99,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQNMLQJJHMFFBV86DA,·s´ä¬q¤KÃä¤p¬q,2006.00,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLQJJHMFFBV66CA,·s¦Ë´ò¬q,256.77,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQNMLPJJHMFFAV56CA,±ï¦{¬q,161.95,³£¥«¡G¦í
RPRNMLPJJHMFFAV66CA,§Q®a¬q,2500.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLPJJHMFFAV96CA,¥xªF¬q,90.00,³£¥«¡G¦í
RPTNMLQJJHMFFAV96CA,¥Ã²M¬q,91.69,³£¥«¡G¹A
RPTNMLQJJHMFFAV96CA,¥Ã²M¬q,29.98,³£¥«¡G¹A
RPPNMLOKJHMFFAV09CA,Â×§Q¬q,65.90,³£¥«¡G¦í
SPPNMLOKJHMFFAV56CA,Â×§Q¬q,66.24,³£¥«¡G¦í
RPQNMLOKJHMFFAV56CA,Â×§Q¬q,65.99,³£¥«¡G¦í
RPVNMLQKJHMFFAV27CA,«Ø°ê¬q,241.00,³£¥«¡G¦í
RPVNMLQKJHMFFAV27CA,«Ø°ê¬q,241.00,³£¥«¡G¦í
RPVNMLQKJHMFFAV27CA,«Ø°ê¬q,82.49,³£¥«¡G¨ä¥L
RPVNMLQKJHMFFAV27CA,«Ø°ê¬q,5.85,³£¥«¡G¨ä¥L
RPOOMLQKJHMFFAV66CA,©¥ÆW¬q,198.19,³£¥«¡G¦í
RPTNMLKKJHMFFAV09CA,§Q®a¬q,2175.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLKKJHMFFAV56CA,Â×§Q¬q,38.24,«D³£¥«¡G ; «D³£¥«½s©w¡G
RPQNMLNKJHMFFBV56CA,ªFªe¬q,119.18,³£¥«¡G¦í
RPQNMLNKJHMFFBV56CA,ªFªe¬q,536.35,³£¥«¡G¦í
RPPNMLKKJHMFFDV09DA,Äõ¨½¬q,1054.94,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
