鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
西嶼鄉,土地,小池角段3421~3450地號,267.0,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1211000,4536,,0.0,0,,RPRNMLQJJHMFFAX96CA
馬公市,房地(土地+建物),澎湖縣馬公市雞母塢181~210號,329.9,,一般農業區,甲種建築用地,1051201,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,1031217,141.45,4,1,4,有,無,7000000,49487,,0.0,0,,RPWNMLRKJHMFFAX67CA
馬公市,房地(土地+建物),澎湖縣馬公市光復路5巷8弄1~30號,21.15,商,,,1051201,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土加強磚造,0661111,82.21,3,1,1,有,無,2600000,31626,,0.0,0,,RPRNMLOJJHMFFAX76CA
馬公市,土地,國宅段331~360地號,1238.77,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13864640,11192,,0.0,0,,RPRNMLPJJHMFFAX86CA
馬公市,土地,文寮段991~1020地號,578.96,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11862960,20490,,0.0,0,,RPPNMLMJKHMFFAX09CA
馬公市,房地(土地+建物),澎湖縣馬公市大智街18巷20弄1~30號,44.0,商,,,1051201,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,0690213,147.2,3,1,3,有,無,7000000,47554,,0.0,0,,RPTNMLKLJHMFFAX76CA
馬公市,土地,井垵西段121~150地號,412.19,,風景區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1246800,3025,,0.0,0,,RPPNMLTJJHMFFAX07CA
馬公市,房地(土地+建物),澎湖縣馬公市林森路31~60號,18.55,其他,,,1051201,土地2建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850202,134.53,3,1,2,有,有,4260000,31666,,0.0,0,,RPRNMLTJJHMFFAX27CA
馬公市,土地,西澳段961~990地號,71.23,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1843004,25874,,0.0,0,,RPOOMLRKJHMFFAX96CA
馬公市,土地,五福段511~540地號,762.39,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13836000,18148,,0.0,0,,RPRNMLTKJHMFFAX37CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市中華路211~240號,29.26,住,,,1051201,土地2建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821119,155.11,3,2,2,有,無,5080000,32751,坡道平面,0.0,0,,RPPNMLNKJHMFFAX66DA
白沙鄉,土地,赤崁北段121~150地號,136.65,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,669572,4900,,0.0,0,,RPSNMLKLJHMFFAX76DA
湖西鄉,土地,紅羅段181~210地號,1092.68,,一般農業區,農牧用地,1050901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1830,,0.0,0,,RPPNMLPLJHMFFAX86CA
馬公市,土地,山水南段211~240地號,141.16,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1370000,9705,,0.0,0,,RPPNMLMKJHMFFAX66EA
馬公市,土地,文光段391~420地號,136.37,住,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9998168,73316,,0.0,0,,RPRNMLRKJHMFFAX17CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市朝陽路61~90號,24.04,住,,,1051201,土地4建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830509,134.55,2,1,2,有,有,3980000,29580,升降機械,0.0,0,,RPSNMLNKJHMFFAX86CA
湖西鄉,土地,林投南段31~60地號,96.9,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,439000,4530,,0.0,0,,RPQNMLQKJHMFFAX96CA
湖西鄉,土地,林投南段1~30地號,493.8,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2350000,4759,,0.0,0,,RPRNMLQKJHMFFAX07CA
馬公市,土地,興崁段1051~1080地號,1028.57,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,4861,,0.0,0,,RPQNMLRKJHMFFAX07CA
湖西鄉,土地,潭邊新段361~390地號,281.25,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,3200,,0.0,0,,RPRNMLMKJHMFFAX66CA
湖西鄉,土地,成功南段751~780地號,348.23,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,5169,,0.0,0,,RPRNMLNKJHMFFAX76CA
湖西鄉,土地,林投南段91~120地號,98.2,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,108016,1100,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLQKJHMFFAX37EA
馬公市,房地(土地+建物),澎湖縣馬公市六合路61~90號,36.73,住,,,1051201,土地1建物1車位0,五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0861206,126.44,4,1,2,有,無,1744024,13793,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLQLJHMFFAX96CA
白沙鄉,土地,講美段271~300地號,124.33,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,455000,3660,,0.0,0,土地增值稅及移轉相關費用由權利人負擔,RPPNMLNJKHMFFAX66DA
湖西鄉,土地,沙港北段661~690地號,50.96,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,132496,2600,,0.0,0,,RPVNMLRKJHMFFAX67DA
馬公市,土地,光榮段691~720地號,19.22,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,31217,,0.0,0,,RPRNMLSKJHMFFAX37DA
西嶼鄉,土地,二崁北段1171~1200地號,6638.4,,一般農業區,農牧用地,1051201,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2352669,354,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLQKJHMFFAX47EA
白沙鄉,土地,講美段1561~1590地號,672.63,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,1264,,0.0,0,向政府機關承購之案件。,RPPNMLRKJHMFFAX17EA
七美鄉,土地,七美二段451~480地號,698.01,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1941400,2781,,0.0,0,,RPPNMLSKJHMFFAX07CA
馬公市,土地,六合段391~420地號,277.19,,一般農業區,農牧用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,14070,,0.0,0,賣方賣清價,RPXNMLRKJHMFFAX77CA
