編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLRKJHMFFAX67CA,2,141.45,住家用,加強磚造,103年12月17日,一層,一層
RPRNMLOJJHMFFAX76CA,39,82.21,住商用,鋼筋混凝土加強磚造,66年11月11日,五層,一層 騎樓
RPTNMLKLJHMFFAX76CA,37,147.20,住商用,鋼筋混凝土加強磚造,69年2月13日,四層,一層 二層 三層 四層 地下層
RPRNMLTJJHMFFAX27CA,21,104.62,住家用,鋼筋混凝土造,85年2月2日,八層,五層
RPRNMLTJJHMFFAX27CA,21,16.18,見其他登記事項,鋼筋混凝土造,85年2月2日,八層,
RPRNMLTJJHMFFAX27CA,21,12.33,見其他登記事項,鋼筋混凝土造,85年2月2日,八層,
RPRNMLTJJHMFFAX27CA,21,1.39,見其他登記事項,鋼筋混凝土造,85年2月2日,八層,
RPSNMLNKJHMFFAX86CA,23,97.43,住家用,鋼筋混凝土造,83年5月9日,七層,六層
RPSNMLNKJHMFFAX86CA,23,2.46,見其他登記事項,鋼筋混凝土造,83年5月9日,七層,
RPSNMLNKJHMFFAX86CA,23,11.38,見其他登記事項,鋼筋混凝土造,83年5月9日,七層,
RPSNMLNKJHMFFAX86CA,23,23.28,見其他登記事項,鋼筋混凝土造,83年5月9日,七層,
RPPNMLQLJHMFFAX96CA,19,126.44,住家用,鋼筋混凝土造,86年12月6日,五層,五層 夾層
